[04:23:43] [INIT] KubeJS 2001.6.5-build.16; MC 2001 forge
[04:23:43] [INIT] Loaded plugins:
[04:23:43] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgePlugin
[04:23:43] [INIT] - net.mehvahdjukaar.sawmill.integration.KubeJsPlugin
[04:23:43] [INIT] - dev.ftb.mods.ftbxmodcompat.ftbquests.kubejs.KubeJSIntegration
[04:23:43] [INIT] - dev.ftb.mods.ftbxmodcompat.ftbteams.kubejs.FTBTeamsKubeJSPlugin
[04:23:43] [INIT] - dev.ftb.mods.ftbxmodcompat.ftbfiltersystem.kubejs.FFSKubeJSPlugin
[04:23:43] [INIT] - com.bobvarioa.kubejsarsnouveau.KubeJSArsNouveauPlugin
[04:23:43] [INIT] - dev.latvian.mods.kubejs.create.KubeJSCreatePlugin
[04:23:43] [INIT] - qinomed.kubejsdelight.KubeJSDelightPlugin
[04:23:43] [INFO] Loaded script server_scripts:simplyswords.js in 0.005 s
[04:23:43] [INFO] Loaded script server_scripts:storage_item_changes.js in 0.001 s
[04:23:43] [INFO] Loaded script server_scripts:kubejs_enchantments_vanilla.js in 0.01 s
[04:23:43] [INFO] Loaded script server_scripts:kubejs_enchantments_ect.js in 0.002 s
[04:23:43] [INFO] Loaded script server_scripts:craisin.js in 0.003 s
[04:23:43] [INFO] Loaded script server_scripts:betterend_weapons.js in 0.007 s
[04:23:43] [INFO] Loaded script server_scripts:dirt.js in 0.001 s
[04:23:43] [INFO] Loaded script server_scripts:manipulation_essence_stone_conversions.js in 0.002 s
[04:23:43] [INFO] Loaded script server_scripts:everycomp.js in 0.009 s
[04:23:43] [INFO] Loaded script server_scripts:recipes.js in 0.011 s
[04:23:43] [INFO] Loaded script server_scripts:kubejs_enchantments_apotheosis.js in 0.006 s
[04:23:43] [INFO] Loaded script server_scripts:kubejs_eyes_of_ender.js in 0.0 s
[04:23:43] [INFO] Loaded script server_scripts:alexscaves.js in 0.002 s
[04:23:43] [INFO] Loaded script server_scripts:starterkit.js in 0.002 s
[04:23:43] [INFO] Loaded script server_scripts:betternether_and_end_compat.js in 0.003 s
[04:23:43] [INFO] Loaded script server_scripts:haunting_integrations.js in 0.003 s
[04:23:43] [INFO] Loaded script server_scripts:iceandfire.js in 0.001 s
[04:23:43] [INFO] Loaded script server_scripts:silver.js in 0.003 s
[04:23:43] [INFO] Loaded 18/18 KubeJS server scripts in 0.093 s with 0 errors and 0 warnings
[04:24:10] [WARN] Failed to parse recipe 'extra_compat:cloggrum_dagger[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'oreganized:waxed_navy_concrete_powder[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'extra_compat:tortoise_egg_crate[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'knavesneeds:betternether/cincinnasite_diamond/sai[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'oreganized:quark/raw_silver_brick_slab_stonecutter[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'oreganized:waxed_maroon_concrete_powder[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'oreganized:navy_crystal_glass[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:10] [WARN] Failed to parse recipe 'oreganized:waxed_verdant_concrete_powder[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'autumnity:wallpapers/cyan_wallpaper_roll[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'doom_and_gloom:maroon_vigil_candle[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'oreganized:navy_crystal_glass_pane[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'autumnity:wallpapers/purple_wallpaper_roll[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'oreganized:waxed_amber_concrete_powder[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'doom_and_gloom:coral_vigil_candle_dyeing[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'oreganized:waxed_teal_concrete_powder[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'doom_and_gloom:mint_vigil_candle[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'knavesneeds:betternether/cincinnasite_diamond/cutlass[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'extra_compat:forgotten_dagger_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'oreganized:quark/raw_silver_brick_stairs_stonecutter[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'v_slab_compat:netherexp/yellow_nether_brick_2[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'doom_and_gloom:verdant_vigil_candle[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'rainbowreef:milk_bottle_goby_gummy[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'knavesneeds:betternether/cincinnasite_diamond/greathammer[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'extra_compat:cloggrum_gloves[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'oreganized:forest_crystal_glass[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'extra_compat:forgotten_hammer_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'supplementaries:twigs/clean_flowered_paper_lanterns[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'oreganized:quark/raw_silver_brick_vertical_slab_revert[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'autumnity:wallpapers/orange_wallpaper_roll[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'extra_compat:cloggrum_quarterstaff[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'extra_compat:forgotten_quarterstaff_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'oreganized:quark/glance_brick_vertical_slab_stonecutter[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'autumnity:wallpapers/white_wallpaper_roll[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:11] [WARN] Failed to parse recipe 'doom_and_gloom:teal_vigil_candle[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'oreganized:indigo_crystal_glass_pane[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'extra_compat:utherium_hammer[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'doom_and_gloom:beige_vigil_candle[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'extra_compat:froststeel_spear[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'extra_compat:froststeel_club[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'doom_and_gloom:forest_vigil_candle[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'extra_compat:utherium_great_sword[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'doom_and_gloom:aqua_vigil_candle[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'seasonals:cooking/pumpkin_adzuki_stew[farmersdelight:cooking]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'doom_and_gloom:maroon_vigil_candle_dyeing[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'extra_compat:froststeel_dagger[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'knavesneeds:betternether/cincinnasite_diamond/glaive[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'autumnity:wallpapers/yellow_wallpaper_roll[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'oreganized:rose_crystal_glass[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'extra_compat:forgotten_great_sword_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'oreganized:teal_crystal_glass_pane[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'oreganized:waxed_mint_concrete_powder[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'oreganized:quark/raw_silver_brick_vertical_slab_stonecutter[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'doom_and_gloom:rose_vigil_candle_dyeing[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'extra_compat:utherium_great_axe[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'oreganized:olive_crystal_glass[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'oreganized:quark/raw_lead_brick_slab_stonecutter[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'extra_compat:utherium_club[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'oreganized:maroon_crystal_glass_pane[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'doom_and_gloom:mint_vigil_candle_dyeing[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'knavesneeds:betternether/cincinnasite_diamond/halberd[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'oreganized:verdant_crystal_glass[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'doom_and_gloom:indigo_vigil_candle_dyeing[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'oreganized:mint_crystal_glass[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'autumnity:wallpapers/pink_wallpaper_roll[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'extra_compat:froststeel_gloves[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'extra_compat:froststeel_great_sword[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'knavesneeds:betternether/cincinnasite_diamond/chakram[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'oreganized:quark/glance_brick_vertical_slab[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'doom_and_gloom:olive_vigil_candle[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'knavesneeds:betternether/cincinnasite_diamond/scythe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'autumnity:wallpapers/light_blue_wallpaper_roll[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'worldofwonder:stem_boat_recipe[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'oreganized:quark/raw_silver_brick_vertical_slab[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'autumnity:wallpapers/brown_wallpaper_roll[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'oreganized:waxed_olive_concrete_powder[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'extra_compat:froststeel_quarterstaff[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'oreganized:quark/raw_lead_brick_vertical_slab_revert[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'doom_and_gloom:slate_vigil_candle[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'oreganized:quark/raw_lead_brick_vertical_slab_stonecutter[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'extra_compat:utherium_gloves[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'rainbowreef:milk_bottle_buttered_butterflyfish[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'oreganized:amber_crystal_glass_pane[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'oreganized:waxed_aqua_concrete_powder[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'oreganized:slate_crystal_glass[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'oreganized:quark/glance_vertical_slab[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'extra_compat:forgotten_spear_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'oreganized:electrum_machete[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'base' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'oreganized:olive_crystal_glass_pane[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'autumnity:wallpapers/green_wallpaper_roll[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'oreganized:verdant_crystal_glass_pane[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'extra_compat:cloggrum_spear[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'knavesneeds:betternether/cincinnasite_diamond/katana[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[04:24:12] [WARN] Failed to parse recipe 'autumnity:wallpapers/gray_wallpaper_roll[minecraft:crafting_shapeless]'! Falling back to vanilla: ItemStack 'result' can't be empty!
